query_repository,method,rank,recommended_repository,recommended_description,stars,forks,issues,human_relevance,ndcg_at_5_for_query
react,hybrid,4,bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",165352,78906,477,2,1.0
react,hybrid,5,lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",57483,7086,3,2,1.0
tensorflow,hybrid,1,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,3,1.0
tensorflow,hybrid,2,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",60101,14187,1,3,1.0
tensorflow,hybrid,3,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240,3,1.0
tensorflow,hybrid,4,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811,3,1.0
tensorflow,hybrid,5,opencv,Open Source Computer Vision Library,71279,55603,2526,2,1.0
transformers,hybrid,1,models,Models and examples built with TensorFlow,76105,46226,1205,3,1.0
transformers,hybrid,2,tensorflow,An Open Source Machine Learning Framework for Everyone,177727,88940,2066,3,1.0
transformers,hybrid,3,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,70933,19511,12736,3,1.0
transformers,hybrid,4,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,2,1.0
transformers,hybrid,5,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240,2,1.0
vue,hybrid,1,vuetify,🐉 Vue Component Framework,37958,6895,724,3,1.0
vue,hybrid,2,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310,3,1.0
vue,hybrid,3,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40,3,1.0
vue,hybrid,4,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629,3,1.0
vue,hybrid,5,nuxt,"Nuxt is an intuitive and extendable way to create type-safe, performant and production-grade full-stack web apps and websites with Vue 3.",47504,4365,964,3,1.0
bootstrap,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,2,1.0
bootstrap,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,1.0
bootstrap,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,1.0
bootstrap,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,1.0
bootstrap,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
django,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,1,1.0
django,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,1.0
django,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,1.0
django,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,1.0
django,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
flutter,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,1,1.0
flutter,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,1.0
flutter,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,1.0
flutter,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,1.0
flutter,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
freeCodeCamp,ollama,1,free-programming-books,:books: Freely available programming books,298393,57194,46,3,1.0
freeCodeCamp,ollama,2,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,2,1.0
freeCodeCamp,ollama,3,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,2,1.0
freeCodeCamp,ollama,4,public-apis,A collective list of free APIs,256615,29254,191,2,1.0
freeCodeCamp,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
kubernetes,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,0,0.6934264036172708
kubernetes,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,0.6934264036172708
kubernetes,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,0.6934264036172708
kubernetes,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,0.6934264036172708
kubernetes,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,0.6934264036172708
linux,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,0,0.6934264036172708
linux,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,0.6934264036172708
linux,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,0.6934264036172708
linux,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,0.6934264036172708
linux,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,0.6934264036172708
react,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,2,1.0
react,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,1.0
react,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,1.0
react,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,1.0
react,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
tensorflow,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,0,0.6934264036172708
tensorflow,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,0.6934264036172708
tensorflow,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,0.6934264036172708
tensorflow,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,0.6934264036172708
tensorflow,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,0.6934264036172708
transformers,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,0,0.6934264036172708
transformers,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,0.6934264036172708
transformers,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,0.6934264036172708
transformers,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,0.6934264036172708
transformers,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,0.6934264036172708
vue,ollama,1,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,374074,33599,248,2,1.0
vue,ollama,2,free-programming-books,:books: Freely available programming books,298393,57194,46,1,1.0
vue,ollama,3,awesome,😎 Awesome lists about all kinds of interesting topics,269997,26485,61,1,1.0
vue,ollama,4,coding-interview-university,A complete computer science study plan to become a software engineer.,265161,69434,56,0,1.0
vue,ollama,5,996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,267901,21497,16712,0,1.0
bootstrap,semantic,1,hugo,The world’s fastest framework for building websites.,69075,7354,642,2,0.7883023520361672
bootstrap,semantic,2,50projects50days,"50+ mini web projects using HTML, CSS & JS",30720,8108,64,2,0.7883023520361672
bootstrap,semantic,3,ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",49487,13666,430,2,0.7883023520361672
bootstrap,semantic,4,html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",55252,12416,8,3,0.7883023520361672
bootstrap,semantic,5,tailwindcss,A utility-first CSS framework for rapid UI development.,72109,3753,13,3,0.7883023520361672
django,semantic,1,hugo,The world’s fastest framework for building websites.,69075,7354,642,2,0.9355095261428396
django,semantic,2,angular,The modern web developer’s platform,90337,24264,1524,1,0.9355095261428396
django,semantic,3,Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,66062,6359,2,1,0.9355095261428396
django,semantic,4,express,"Fast, unopinionated, minimalist web framework for node.",61914,11164,186,2,0.9355095261428396
django,semantic,5,html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",55252,12416,8,1,0.9355095261428396
flutter,semantic,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57,3,0.964273415916436
flutter,semantic,2,architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,43146,11580,203,1,0.964273415916436
flutter,semantic,3,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532,2,0.964273415916436
flutter,semantic,4,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558,2,0.964273415916436
flutter,semantic,5,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27,1,0.964273415916436
freeCodeCamp,semantic,1,freecodecamp.cn,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,36528,1374,152,3,0.9908183105074706
freeCodeCamp,semantic,2,app-ideas,A Collection of application ideas which can be used to improve your coding skills.,66929,8510,348,3,0.9908183105074706
freeCodeCamp,semantic,3,project-based-learning,Curated list of project-based tutorials,116167,16175,50,3,0.9908183105074706
freeCodeCamp,semantic,4,first-contributions,🚀✨ Help beginners to contribute to open source projects,37762,65211,260,2,0.9908183105074706
freeCodeCamp,semantic,5,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,217627,21159,282,3,0.9908183105074706
kubernetes,semantic,1,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278,3,0.9641175064768848
kubernetes,semantic,2,lazydocker,The lazier way to manage everything docker,30477,1053,113,2,0.9641175064768848
kubernetes,semantic,3,compose,Define and run multi-container applications with Docker,30520,5021,198,3,0.9641175064768848
kubernetes,semantic,4,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359,2,0.9641175064768848
kubernetes,semantic,5,pm2,Node.js Production Process Manager with a built-in Load Balancer.,39682,2572,829,1,0.9641175064768848
linux,semantic,1,HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",75465,9304,124,0,0.6797310500037655
linux,semantic,2,github-cheat-sheet,A list of cool features of Git and GitHub.,42480,5305,31,1,0.6797310500037655
linux,semantic,3,awesome-rust,A curated list of Rust code and resources.,37165,2329,10,0,0.6797310500037655
linux,semantic,4,cli,GitHub’s official command line tool,33281,5479,458,1,0.6797310500037655
linux,semantic,5,bitcoin,Bitcoin Core integration/staging tree,71444,35719,666,1,0.6797310500037655
react,semantic,1,ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",49487,13666,430,2,0.8343228640807433
react,semantic,2,lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",57483,7086,3,2,0.8343228640807433
react,semantic,3,react-native,A framework for building native applications using React,112057,23820,1649,3,0.8343228640807433
react,semantic,4,awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",31304,4325,43,2,0.8343228640807433
react,semantic,5,angular,The modern web developer’s platform,90337,24264,1524,1,0.8343228640807433
tensorflow,semantic,1,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",60101,14187,1,3,0.9908183105074706
tensorflow,semantic,2,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,3,0.9908183105074706
tensorflow,semantic,3,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240,3,0.9908183105074706
tensorflow,semantic,4,opencv,Open Source Computer Vision Library,71279,55603,2526,2,0.9908183105074706
tensorflow,semantic,5,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811,3,0.9908183105074706
transformers,semantic,1,models,Models and examples built with TensorFlow,76105,46226,1205,3,0.9278257471613418
transformers,semantic,2,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240,2,0.9278257471613418
transformers,semantic,3,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181,2,0.9278257471613418
transformers,semantic,4,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,70933,19511,12736,3,0.9278257471613418
transformers,semantic,5,annotated_deep_learning_paper_implementations,"🧑‍🏫 60 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",36179,3771,26,3,0.9278257471613418
vue,semantic,1,vuetify,🐉 Vue Component Framework,37958,6895,724,3,0.9908183105074706
vue,semantic,2,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629,3,0.9908183105074706
vue,semantic,3,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40,3,0.9908183105074706
vue,semantic,4,uni-app,A cross-platform framework using Vue.js,38609,3556,1219,2,0.9908183105074706
vue,semantic,5,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310,3,0.9908183105074706
